"task_name","description","owner","status","priority","phase"
"Finalize packaging set","Approve the final title, subtitle, front cover, back cover, marketplace description, and metadata.","Owner","Open","High","Packaging"
"Choose domain name","Buy the domain that will be used for the website, companion page, and QR code destination.","Owner","Open","High","Website"
"Decide publishing company name","Choose the publishing company or imprint name that will appear on the site and book materials.","Owner","Open","High","Brand"
"Define website structure","Approve the simple site structure with a main brand home and a dedicated page for Health Fundamentals.","Owner","Open","High","Website"
"Choose website platform","Decide whether to use a static site stack or managed WordPress, with security and portability as the priority.","Owner","Open","High","Website"
"Create Health Fundamentals page","Build the dedicated book page with the cover, promise, buy buttons, companion note, and future testimonials area.","Owner","Open","High","Website"
"Choose distribution model","Confirm the hybrid model with the website as the home base and Amazon as an optional buying path.","Owner","Open","High","Distribution"
"Define direct checkout stack","Choose the low-cost direct checkout and delivery setup for the website.","Owner","Open","High","Distribution"
"Choose CRM and support setup","Pick the lightweight CRM and support flow for customer questions, order issues, and companion requests.","Owner","Open","Medium","Operations"
"Define support automation","Choose the first simple automations for form intake, confirmations, customer tags, and companion access requests.","Owner","Open","Medium","Operations"
"Decide bot disclosure policy","Write the rule for how the site will clearly disclose when a visitor is interacting with an AI assistant.","Owner","Open","Medium","Operations"
"Outline companion resource","Approve the Health Fundamentals Companion Field Guide structure, size, naming, and delivery method.","Owner","Open","High","Companion"
"Define front and back matter","Approve the opening note, how-to-use page, references and notes, appendices, and companion access note.","Owner","Open","High","Manuscript"
"Refine opening note draft","Tighten the opening note so it feels final-reader ready and bridges cleanly into Chapter 1.","Owner","Open","Medium","Manuscript"
"Refine how-to-use page","Tighten the How To Use This Book page so it feels final-reader ready and clear.","Owner","Open","Medium","Manuscript"
"Refine companion access note","Tighten the buyer-facing companion note and replace placeholders once the domain and access details are ready.","Owner","Open","Medium","Manuscript"
"Choose purchase verification flow","Decide how direct buyers and Amazon buyers will unlock the companion resource.","Owner","Open","High","Companion"
"Choose companion access code","Choose the access word or code that retailer buyers will use to unlock the companion page.","Owner","Open","High","Companion"
"Generate QR code","Generate the QR code that points readers from the printed book to the companion page once the domain is live.","Owner","Open","High","Distribution"
"Review manuscript physical length strategy","Decide whether to keep the manuscript concise or add more support material for stronger print presence.","Owner","Open","Medium","Manuscript"
"Design Amazon-to-site bridge","Set the short URL, QR destination, and in-book wording that move retailer buyers to the website.","Owner","Open","High","Distribution"
"Define blender guidance framework","Keep the blender guidance brand-neutral and practical by budget, durability, cleaning, and use case.","Owner","Open","Medium","Companion"
"Refine companion field guide draft","Tighten the companion draft into final buyer language, including buying, washing, storage, filter, and reset guidance.","Owner","Open","Medium","Companion"
"Prepare Amazon listing inputs","Finalize the retailer description, categories, and keyword language for marketplace upload.","Owner","Open","Medium","Retail"
"Prepare direct-site launch copy","Finalize the hero copy, calls to action, problem-solution message, and FAQ for the book page.","Owner","Open","Medium","Website"
"Review website security setup","Confirm the hosting, SSL, access control, backups, and low-maintenance security approach before launch.","Owner","Open","High","Website"
"Create launch checklist","Turn the strategy into a simple step-by-step launch sequence.","Owner","Open","Medium","Launch"
"Evaluate physical companion products","Decide whether to launch a minimal journal first, then a mug later.","Owner","Open","Low","Brand"
"Define journal and pen set","Plan the companion journal and refillable pen set so it supports notes, reflection, and the health journey without feeling expensive.","Owner","Open","Low","Brand"
